COUNTRY,Year,School age population (thousands),% urban,% primary,% secondary,national_basic,national_limited,national_no,PRIMARY_basic,PRIMARY_limited,PRIMARY_no,SECONDARY_basic,SECONDARY_limited,SECONDARY_no,WHO Region,UNICEF Programme Region,UNICEF Reporting Regions,SDG region
Afghanistan,2016.0,12465,25.0,49.0,42.0,65.0,8.0,25.0,58.0,17.0,24.0,75.0,16.292857142857144,20.82051282051282,0,0,0,Central and Southern Asia
Afghanistan,2017.0,12703,25.0,48.0,42.0,65.0,9.0,24.0,58.0,17.0,24.0,75.0,16.292857142857144,20.82051282051282,0,0,0,Central and Southern Asia
Afghanistan,2018.0,12907,25.0,48.0,42.0,65.0,11.0,23.0,58.0,17.0,24.0,75.0,16.292857142857144,20.82051282051282,0,0,0,Central and Southern Asia
Afghanistan,2019.0,13092,25.0,48.0,43.0,65.0,12.0,21.0,58.0,17.0,24.0,75.0,16.292857142857144,20.82051282051282,0,0,0,Central and Southern Asia
Afghanistan,2021.0,13417,26.0,47.0,43.0,65.0,12.0,21.0,58.0,17.0,24.0,75.0,16.292857142857144,20.82051282051282,0,0,0,Central and Southern Asia
Algeria,2016.0,8501,71.0,42.0,47.0,92.0,15.381578947368421,7.0,87.0,14.201149425287356,12.0,98.0,16.292857142857144,1.0,1,1,1,Northern Africa and Western Asia
Algeria,2017.0,8791,72.0,43.0,46.0,92.0,15.381578947368421,7.0,85.0,14.201149425287356,14.0,96.0,1.0,1.0,1,1,1,Northern Africa and Western Asia
Algeria,2018.0,9115,72.0,44.0,45.0,92.0,15.381578947368421,7.0,85.0,14.201149425287356,14.0,95.0,3.0,1.0,1,1,1,Northern Africa and Western Asia
Algeria,2019.0,9465,73.0,44.0,45.0,91.0,15.381578947368421,7.0,85.0,14.201149425287356,14.0,94.0,4.0,1.0,1,1,1,Northern Africa and Western Asia
Algeria,2021.0,9921,74.0,45.0,48.0,90.0,1.0,7.0,85.0,14.201149425287356,14.0,92.0,6.0,1.0,1,1,1,Northern Africa and Western Asia
Angola,2016.0,11143,64.0,46.0,36.0,61.92619926199262,15.381578947368421,68.0,60.497835497835496,14.201149425287356,81.0,71.16756756756757,16.292857142857144,51.0,1,2,2,Sub-Saharan Africa
Angola,2017.0,11553,64.0,46.0,36.0,61.92619926199262,15.381578947368421,68.0,60.497835497835496,14.201149425287356,81.0,71.16756756756757,16.292857142857144,51.0,1,2,2,Sub-Saharan Africa
Angola,2018.0,11962,65.0,46.0,36.0,61.92619926199262,15.381578947368421,68.0,60.497835497835496,14.201149425287356,81.0,71.16756756756757,16.292857142857144,51.0,1,2,2,Sub-Saharan Africa
Angola,2019.0,12367,66.0,46.0,36.0,61.92619926199262,15.381578947368421,68.0,60.497835497835496,14.201149425287356,81.0,71.16756756756757,16.292857142857144,51.0,1,2,2,Sub-Saharan Africa
Angola,2021.0,12459,67.0,48.0,39.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,1,2,2,Sub-Saharan Africa
Anguilla,2016.0,2,100.0,50.0,34.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Anguilla,2017.0,2,100.0,50.0,34.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Anguilla,2018.0,2,100.0,50.0,35.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Anguilla,2019.0,2,100.0,50.0,35.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Anguilla,2021.0,2,100.0,49.0,35.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Antigua and Barbuda,2016.0,19,24.0,48.0,37.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Antigua and Barbuda,2017.0,19,24.0,48.0,36.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Antigua and Barbuda,2018.0,19,24.0,49.0,36.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Antigua and Barbuda,2019.0,19,24.0,49.0,35.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Antigua and Barbuda,2021.0,19,24.0,50.0,34.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Argentina,2016.0,10748,91.0,40.0,39.0,61.92619926199262,15.381578947368421,10.0,60.497835497835496,14.201149425287356,10.0,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Argentina,2017.0,10801,91.0,40.0,39.0,61.92619926199262,15.381578947368421,10.0,60.497835497835496,14.201149425287356,10.0,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Argentina,2018.0,10854,91.0,40.0,39.0,61.92619926199262,15.381578947368421,10.0,60.497835497835496,14.201149425287356,10.0,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Argentina,2019.0,10898,91.0,40.0,39.0,61.92619926199262,15.381578947368421,10.0,60.497835497835496,14.201149425287356,10.0,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Argentina,2021.0,10979,92.0,40.0,39.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Azerbaijan,2016.0,2083,55.0,26.0,49.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,3,4,4,Northern Africa and Western Asia
Azerbaijan,2017.0,2115,55.0,27.0,47.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,3,4,4,Northern Africa and Western Asia
Azerbaijan,2018.0,2148,55.0,29.0,46.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,3,4,4,Northern Africa and Western Asia
Azerbaijan,2019.0,2182,56.0,30.0,46.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,3,4,4,Northern Africa and Western Asia
Azerbaijan,2021.0,1927,56.0,28.0,46.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,3,4,4,Northern Africa and Western Asia
Bahrain,2016.0,264,89.0,41.0,34.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,0,1,1,Northern Africa and Western Asia
Bahrain,2017.0,270,89.0,41.0,35.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,0,1,1,Northern Africa and Western Asia
Bahrain,2018.0,279,89.0,41.0,35.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,0,1,1,Northern Africa and Western Asia
Bahrain,2019.0,289,89.0,40.0,36.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,0,1,1,Northern Africa and Western Asia
Bahrain,2021.0,302,89.0,41.0,36.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,0,1,1,Northern Africa and Western Asia
Bangladesh,2016.0,46072,35.0,32.0,47.0,76.0,11.0,12.0,75.0,12.0,12.0,89.0,6.0,3.0,4,0,0,Central and Southern Asia
Bangladesh,2017.0,45774,35.0,32.0,48.0,77.0,11.0,11.0,76.0,12.0,10.0,90.0,6.0,2.0,4,0,0,Central and Southern Asia
Bangladesh,2018.0,45485,36.0,32.0,47.0,78.0,12.0,9.0,77.0,13.0,9.0,91.0,7.0,20.82051282051282,4,0,0,Central and Southern Asia
Bangladesh,2019.0,45162,37.0,32.0,47.0,79.0,12.0,8.0,77.0,13.0,8.0,93.0,6.0,20.82051282051282,4,0,0,Central and Southern Asia
Bangladesh,2021.0,44455,38.0,32.0,47.0,80.0,13.0,5.0,79.0,14.0,5.0,95.0,4.0,20.82051282051282,4,0,0,Central and Southern Asia
Barbados,2016.0,46,31.0,45.0,40.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Barbados,2017.0,46,31.0,45.0,41.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Barbados,2018.0,45,31.0,44.0,41.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Barbados,2019.0,44,31.0,44.0,41.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
